archetype,n_players,alpha,r2,nonzero_coefs,accel_rating,agility_rating,awareness_rating,bcv_rating,block_shed_rating,break_sack_rating,break_tackle_rating,carry_rating,catch_rating,change_of_direction_rating,cit_rating,finesse_moves_rating,hit_power_rating,impact_block_rating,injury_rating,juke_move_rating,jump_rating,kick_acc_rating,kick_power_rating,kick_ret_rating,lead_block_rating,man_cover_rating,pass_block_finesse_rating,pass_block_power_rating,pass_block_rating,play_action_rating,play_rec_rating,power_moves_rating,press_rating,pursuit_rating,release_rating,route_run_deep_rating,route_run_med_rating,route_run_short_rating,run_block_finesse_rating,run_block_power_rating,run_block_rating,spec_catch_rating,speed_rating,spin_move_rating,stamina_rating,stiff_arm_rating,strength_rating,tackle_rating,throw_acc_deep_rating,throw_acc_mid_rating,throw_acc_short_rating,throw_on_run_rating,throw_power_rating,throw_under_pressure_rating,tough_rating,truck_rating,zone_cover_rating
Power - KP,61,0.012249,0.993485,30,0.0,0.113323,2.19992,0.0,0.022488,0.094346,-0.0,-0.079722,0.120725,0.017233,-0.454135,-0.0,-0.0,0.035372,0.032638,-0.0,0.041395,0.880417,0.832882,0.013992,0.105168,-0.01193,0.028998,0.0,0.0,-0.060242,0.132631,0.114579,0.0,0.0,-0.0,0.009014,0.412985,0.0,0.0,0.0,-0.013625,-0.0,0.0,-0.0,-0.020703,-0.0,0.160535,0.026079,0.0,0.0,-0.067002,-0.0,0.156552,0.052549,0.003594,0.0,0.0
Power - LS,9,0.006934,0.999995,10,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.000237,-0.075398,-0.0,-0.0,0.0,0.0,0.739769,-0.0,-0.0,-0.0,-0.0,-2.311737,0.0,1.2992,-0.0,-0.0,-0.0,3.155074,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.395201,0.0,0.0,0.0,-0.758295,-0.0,0.0,-0.0,0.0,1.278186,0.0,-0.0,-0.0,-0.0,-0.0,1.824345,0.0,-0.0,-0.0,-0.0
Power - OT,145,0.023697,0.994737,28,0.160784,0.211276,1.632204,-0.0,0.163841,0.037439,0.150763,0.0,-0.0,-0.00958,-0.0,-0.076155,0.0,0.312955,0.0,-0.190465,-0.038833,0.0,0.060321,-0.0,0.231108,0.0,1.231411,0.698142,0.260832,0.0,-0.033453,-0.030222,-0.0,-0.0,0.0,0.0,0.057556,-0.0,0.605494,1.863844,1.185211,-0.0,0.363644,-0.0,-0.097043,0.039666,0.815991,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.047091,-0.0,-0.044412
Power Back - HB,37,0.015444,0.999693,23,0.489613,0.311729,2.233382,1.012398,0.0,0.040044,1.455042,1.068923,-0.0,0.043326,-0.0,0.0,0.080327,-0.0,0.095838,0.132327,0.0,-0.053598,-0.0,-0.006981,0.0,0.0,-0.050269,-0.0,0.0,-0.083892,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.025786,0.437452,0.0,0.015467,1.425405,0.752758,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.011431,1.451531,0.003436
Power Rusher - DE,105,0.019542,0.995105,29,0.429785,0.436797,1.896785,0.062045,0.485901,0.0,0.020648,-0.0,-0.147384,0.0,0.04723,0.406358,0.0,0.112846,-0.0,-0.0,-0.019584,0.0,0.059887,-0.0,-0.138814,0.0,-0.0,-0.0,-0.106839,0.052542,0.553312,1.352676,0.068894,0.679183,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.712455,0.0,-0.080901,-0.014915,1.334034,1.188794,-0.006007,-0.0,0.0,-0.0,-0.036643,0.0,-0.004393,0.073668,0.036031
Power Rusher - DT,166,0.010691,0.997401,33,0.706597,0.392225,0.921089,-0.060318,1.692555,-0.0,-0.036097,-0.110583,-0.02525,0.049713,0.043595,0.053295,0.190244,0.039125,-0.001274,0.0,-0.0,-0.0,0.05676,-0.00909,-0.0,0.0,0.0,-0.012691,-0.00542,-0.0,1.874412,0.235721,0.0,0.688558,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.021146,0.0,0.236791,0.073394,0.022856,0.003442,1.597111,1.276574,-0.023936,0.0,0.101797,0.0,-0.012608,-0.0,-0.01786,0.036664,-0.0
Receiving Back - HB,2,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run Stopper - OLB,86,0.007234,0.998561,33,0.545372,0.163841,0.692328,-0.094587,1.31511,-0.074835,0.020415,-0.024568,0.053598,0.192122,0.0,-0.0,0.188969,0.0405,0.015208,0.0,-0.0,-0.022057,0.022901,0.000602,-0.019214,0.088561,0.057067,0.0,-0.038534,0.0,1.147672,-0.0,0.0,0.953443,0.027251,-0.00844,-0.0,0.0,-0.036285,-0.077154,-0.0,-0.030337,0.356574,0.037068,-0.0,0.0,0.617038,1.163916,-0.0,0.0,0.0,0.0,0.064891,-0.0,-0.0,0.0,0.473217
Run Support - S,52,0.010397,0.99974,29,0.386224,0.326005,1.722038,0.0,0.220087,-0.0,0.0,0.04749,0.056258,0.221636,-0.081487,0.0,0.417031,-0.0,-0.0,-0.0,0.300278,0.0,0.053286,0.020274,-0.009339,0.803692,0.0,0.067214,0.0,0.0,2.963857,0.096792,0.08989,0.846762,-0.0,0.0,0.0,0.10036,-0.0,-0.0,-0.000351,0.0,0.261721,0.0,0.021322,-0.054851,0.015023,1.403485,-0.087841,-0.0,-0.0,-0.0,0.0,0.0,0.028389,-0.0,0.97451
Slot - WR,81,0.02123,0.995362,37,0.405725,1.029946,1.723877,0.0,0.0,0.204152,0.513886,-0.034796,1.111591,0.06485,0.800261,-0.0,-0.048236,-0.153985,0.014636,0.562969,0.096234,-0.062627,-0.032551,-0.053452,0.21243,-0.0,-0.093963,-0.0,0.0,0.0,-0.047622,-0.13779,0.094484,0.007714,0.441653,0.08007,0.825517,1.543223,0.0,0.180616,-0.101447,0.471289,0.372709,0.0,-0.0,-0.061833,-0.104206,0.053266,-0.0,0.0,0.0,-0.0,0.0,-0.024134,-0.0,0.057248,-0.019521
Smaller Speed Rusher - DE,110,0.04702,0.995544,18,0.503461,0.656412,2.058926,0.0,0.085732,-0.0,-0.0,0.0,0.0,0.0,-0.003216,2.377745,0.212382,0.0,-0.0,0.0,0.069131,0.0,0.022053,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,1.099343,0.299162,-0.0,0.556266,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.032703,0.474688,0.019264,-0.0,-0.0,0.438846,1.165719,-0.0,-0.0,0.0,-0.0,0.0,-0.03573,-0.0,-0.0,0.0
Speed Rusher - DT,79,0.020374,0.996299,26,0.756009,0.21466,0.536817,-0.0,1.152745,0.0,-0.101116,-0.0,0.0,0.104941,0.0,0.441805,0.17827,0.073133,-0.009956,-0.003008,0.0,-0.0,0.0,-0.051859,0.0396,0.003988,-0.0,-0.0,-0.065807,0.0,2.010751,0.019084,-0.003171,0.550567,0.0,0.0,0.0,0.012232,0.0,0.0,0.0,0.0,0.295875,-0.089521,0.0,-0.0,1.129665,1.014002,0.0,0.0,0.0,-0.0,-0.027093,0.048694,-0.0,0.0,0.0
Strong Arm - QB,33,0.017978,0.997821,23,0.0,0.0,1.670345,0.821473,0.0,1.046354,-0.0,0.065267,0.0,0.281133,0.0,0.0,0.0,0.0,-0.053179,0.003889,0.0,0.0,0.0,-0.0,0.035485,-0.0,0.027856,0.0,0.0,0.0,-0.029411,0.0,-0.095448,-0.0,0.0,0.038154,0.0,-0.0,-0.0,-0.06538,0.0,0.0,0.319772,-0.154026,-0.0,0.0,0.0,0.0,0.259916,0.953727,0.460275,0.566183,1.580466,0.33932,-0.01557,0.052101,0.0
Utility - FB,7,0.007045,0.999999,8,-0.0,-0.0,0.0,3.990627,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.100873,-0.0,-0.021434,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328177,0.0,-0.0,0.34446,0.814467,0.237396,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193406,-0.0
Vertical Threat - TE,85,0.009439,0.999383,36,0.387052,0.348858,2.377136,0.208823,-0.0,0.0,0.253852,-0.0,1.276286,0.104659,0.790855,0.040181,-0.0,0.062398,-0.006774,0.037958,0.215716,-0.000579,-0.0,-5.4e-05,-0.022682,-0.057444,0.054821,0.206953,0.039464,0.0,0.008955,0.0,0.081546,-0.0,0.435848,0.492255,1.618943,0.471284,0.256725,0.133208,0.332783,0.288722,0.432096,0.059072,0.113808,0.141509,-0.0,-0.085504,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.141837,0.0
Zone - CB,120,0.015038,0.998409,24,0.754385,0.261652,1.917151,-0.0,-0.0,0.016521,-0.057524,0.0,0.206212,0.356521,-0.0,0.048181,0.002014,-0.0,0.055737,0.036674,0.138374,-0.0,0.0,-0.0,0.033311,0.704989,0.002305,0.0,0.0,0.0,1.175376,0.00943,0.570285,-0.0,-0.0,0.0,0.016068,0.0,0.0,0.0,-0.042424,-0.0,0.665783,-0.0,-0.0,-0.0,-0.027175,0.723738,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,2.198439
Zone - S,85,0.023911,0.999042,19,0.334505,0.373244,3.519672,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.195226,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.235116,0.013963,0.0,-0.0,0.00674,0.208756,-0.0,-0.0,-0.0,0.0,0.43078,0.0,0.0,0.554571,0.018521,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.027289,0.550818,0.0,0.01676,-0.0,0.16482,0.899487,0.000807,0.0,0.0,0.0,0.0,0.005268,-0.0,0.0,2.28668
